Origem,Timestamp,Socket Connection Test
Itaipu,2018-12-07 09:21:20,PASS
Itaipu,2018-12-07 09:16:20,PASS
Starmilk,2018-12-07 09:15:49,PASS
Stein,2018-12-07 09:14:49,FAIL
Itaipu,2018-12-07 09:11:20,PASS
Starmilk,2018-12-07 09:10:49,FAIL
Stein,2018-12-07 09:09:49,PASS
Itaipu,2018-12-07 09:06:20,PASS
Starmilk,2018-12-07 09:05:49,PASS
Stein,2018-12-07 09:04:49,PASS
Itaipu,2018-12-07 09:01:20,PASS
Starmilk,2018-12-07 09:00:49,PASS
Stein,2018-12-07 08:59:49,PASS
Itaipu,2018-12-07 08:56:20,PASS
Starmilk,2018-12-07 08:55:49,PASS
Stein,2018-12-07 08:54:49,PASS
Itaipu,2018-12-07 08:51:20,PASS
Starmilk,2018-12-07 08:50:49,PASS
Stein,2018-12-07 08:49:49,PASS
Itaipu,2018-12-07 08:46:20,PASS
Starmilk,2018-12-07 08:45:49,PASS
Stein,2018-12-07 08:44:49,PASS
Itaipu,2018-12-07 08:41:20,PASS
Starmilk,2018-12-07 08:40:49,PASS
Stein,2018-12-07 08:39:49,PASS
Itaipu,2018-12-07 08:36:20,PASS
Starmilk,2018-12-07 08:35:49,PASS
Stein,2018-12-07 08:34:49,PASS
Itaipu,2018-12-07 08:31:20,PASS
Starmilk,2018-12-07 08:30:49,PASS
Stein,2018-12-07 08:29:49,PASS
Itaipu,2018-12-07 08:26:20,PASS
Starmilk,2018-12-07 08:25:49,PASS
Stein,2018-12-07 08:24:49,PASS
Itaipu,2018-12-07 08:21:20,PASS
Starmilk,2018-12-07 08:20:49,PASS
Stein,2018-12-07 08:19:49,PASS
Itaipu,2018-12-07 08:16:20,PASS
Starmilk,2018-12-07 08:15:49,PASS
Stein,2018-12-07 08:14:49,PASS
Itaipu,2018-12-07 08:11:20,PASS
Starmilk,2018-12-07 08:10:49,PASS
Stein,2018-12-07 08:09:49,PASS
Itaipu,2018-12-07 08:06:20,PASS
Starmilk,2018-12-07 08:05:49,PASS
Stein,2018-12-07 08:04:49,PASS
Itaipu,2018-12-07 08:01:20,PASS
Starmilk,2018-12-07 08:00:49,PASS
Stein,2018-12-07 07:59:49,PASS
Itaipu,2018-12-07 07:56:20,PASS
Starmilk,2018-12-07 07:55:49,PASS
Stein,2018-12-07 07:54:49,PASS
Itaipu,2018-12-07 07:51:20,PASS
Starmilk,2018-12-07 07:50:49,PASS
Stein,2018-12-07 07:49:49,PASS
Itaipu,2018-12-07 07:46:20,PASS
Starmilk,2018-12-07 07:45:49,PASS
Stein,2018-12-07 07:44:49,PASS
Itaipu,2018-12-07 07:41:20,PASS
Starmilk,2018-12-07 07:40:49,PASS
Stein,2018-12-07 07:39:49,PASS
Itaipu,2018-12-07 07:36:20,PASS
Starmilk,2018-12-07 07:35:49,PASS
Stein,2018-12-07 07:34:49,FAIL
Itaipu,2018-12-07 07:31:20,PASS
Starmilk,2018-12-07 07:30:49,PASS
Stein,2018-12-07 07:29:49,PASS
Itaipu,2018-12-07 07:26:20,PASS
Starmilk,2018-12-07 07:25:49,PASS
Stein,2018-12-07 07:24:49,PASS
Itaipu,2018-12-07 07:21:20,PASS
Starmilk,2018-12-07 07:20:49,PASS
Stein,2018-12-07 07:19:49,PASS
Itaipu,2018-12-07 07:16:20,PASS
Starmilk,2018-12-07 07:15:49,PASS
Stein,2018-12-07 07:14:49,PASS
Itaipu,2018-12-07 07:11:20,PASS
Starmilk,2018-12-07 07:10:49,PASS
Stein,2018-12-07 07:09:49,PASS
Itaipu,2018-12-07 07:06:20,PASS
Starmilk,2018-12-07 07:05:49,PASS
Stein,2018-12-07 07:04:49,PASS
Itaipu,2018-12-07 07:01:20,PASS
Starmilk,2018-12-07 07:00:49,PASS
Stein,2018-12-07 06:59:49,PASS
Itaipu,2018-12-07 06:56:20,PASS
Starmilk,2018-12-07 06:55:49,PASS
Stein,2018-12-07 06:54:49,PASS
Itaipu,2018-12-07 06:51:20,PASS
Starmilk,2018-12-07 06:50:49,PASS
Stein,2018-12-07 06:49:49,PASS
Itaipu,2018-12-07 06:46:20,PASS
Starmilk,2018-12-07 06:45:49,PASS
Stein,2018-12-07 06:44:49,PASS
Itaipu,2018-12-07 06:41:20,PASS
Starmilk,2018-12-07 06:40:49,PASS
Stein,2018-12-07 06:39:49,PASS
Itaipu,2018-12-07 06:36:20,PASS
Starmilk,2018-12-07 06:35:49,PASS
Stein,2018-12-07 06:34:49,PASS
Itaipu,2018-12-07 06:31:20,PASS
Starmilk,2018-12-07 06:30:49,PASS
Stein,2018-12-07 06:29:49,PASS
Itaipu,2018-12-07 06:26:20,PASS
Starmilk,2018-12-07 06:25:49,PASS
Stein,2018-12-07 06:24:49,PASS
Itaipu,2018-12-07 06:21:20,PASS
Starmilk,2018-12-07 06:20:49,PASS
Stein,2018-12-07 06:19:49,PASS
Itaipu,2018-12-07 06:16:20,PASS
Starmilk,2018-12-07 06:15:49,PASS
Stein,2018-12-07 06:14:49,PASS
Itaipu,2018-12-07 06:11:20,PASS
Starmilk,2018-12-07 06:10:49,PASS
Stein,2018-12-07 06:09:49,PASS
Itaipu,2018-12-07 06:06:20,PASS
Starmilk,2018-12-07 06:05:49,PASS
Stein,2018-12-07 06:04:49,PASS
Itaipu,2018-12-07 06:01:20,PASS
Starmilk,2018-12-07 06:00:49,PASS
Stein,2018-12-07 05:59:49,PASS
Itaipu,2018-12-07 05:56:20,PASS
Starmilk,2018-12-07 05:55:49,PASS
Stein,2018-12-07 05:54:49,PASS
Itaipu,2018-12-07 05:51:20,PASS
Starmilk,2018-12-07 05:50:49,PASS
Stein,2018-12-07 05:49:49,PASS
Itaipu,2018-12-07 05:46:20,PASS
Starmilk,2018-12-07 05:45:49,PASS
Stein,2018-12-07 05:44:49,PASS
Itaipu,2018-12-07 05:41:20,PASS
Starmilk,2018-12-07 05:40:49,PASS
Stein,2018-12-07 05:39:49,PASS
Itaipu,2018-12-07 05:36:20,PASS
Starmilk,2018-12-07 05:35:49,PASS
Stein,2018-12-07 05:34:49,PASS
Itaipu,2018-12-07 05:31:20,PASS
Starmilk,2018-12-07 05:30:49,PASS
Stein,2018-12-07 05:29:49,PASS
Itaipu,2018-12-07 05:26:20,PASS
Starmilk,2018-12-07 05:25:49,PASS
Stein,2018-12-07 05:24:49,PASS
Itaipu,2018-12-07 05:21:20,PASS
Starmilk,2018-12-07 05:20:49,PASS
Stein,2018-12-07 05:19:49,PASS
Itaipu,2018-12-07 05:16:20,PASS
Starmilk,2018-12-07 05:15:49,PASS
Stein,2018-12-07 05:14:49,PASS
Itaipu,2018-12-07 05:11:20,PASS
Starmilk,2018-12-07 05:10:49,PASS
Stein,2018-12-07 05:09:49,PASS
Itaipu,2018-12-07 05:06:20,PASS
Starmilk,2018-12-07 05:05:49,PASS
Stein,2018-12-07 05:04:49,PASS
Itaipu,2018-12-07 05:01:20,PASS
Starmilk,2018-12-07 05:00:49,PASS
Stein,2018-12-07 04:59:49,PASS
Itaipu,2018-12-07 04:56:20,PASS
Starmilk,2018-12-07 04:55:49,PASS
Stein,2018-12-07 04:54:49,PASS
Itaipu,2018-12-07 04:51:20,PASS
Starmilk,2018-12-07 04:50:49,PASS
Stein,2018-12-07 04:49:49,PASS
Itaipu,2018-12-07 04:46:20,PASS
Starmilk,2018-12-07 04:45:49,PASS
Stein,2018-12-07 04:44:49,PASS
Itaipu,2018-12-07 04:41:20,PASS
Starmilk,2018-12-07 04:40:49,PASS
Stein,2018-12-07 04:39:49,PASS
Itaipu,2018-12-07 04:36:20,PASS
Starmilk,2018-12-07 04:35:49,PASS
Stein,2018-12-07 04:34:49,PASS
Itaipu,2018-12-07 04:31:20,PASS
Starmilk,2018-12-07 04:30:49,PASS
Stein,2018-12-07 04:29:49,PASS
Itaipu,2018-12-07 04:26:20,PASS
Starmilk,2018-12-07 04:25:49,PASS
Stein,2018-12-07 04:24:49,PASS
Itaipu,2018-12-07 04:21:20,PASS
Starmilk,2018-12-07 04:20:49,PASS
Stein,2018-12-07 04:19:49,PASS
Itaipu,2018-12-07 04:16:20,PASS
Starmilk,2018-12-07 04:15:49,PASS
Stein,2018-12-07 04:14:49,PASS
Itaipu,2018-12-07 04:11:20,PASS
Starmilk,2018-12-07 04:10:49,PASS
Stein,2018-12-07 04:09:49,PASS
Itaipu,2018-12-07 04:06:20,PASS
Starmilk,2018-12-07 04:05:49,PASS
Stein,2018-12-07 04:04:49,PASS
Itaipu,2018-12-07 04:01:20,PASS
Starmilk,2018-12-07 04:00:49,PASS
Stein,2018-12-07 03:59:49,PASS
Itaipu,2018-12-07 03:56:20,PASS
Starmilk,2018-12-07 03:55:49,PASS
Stein,2018-12-07 03:54:49,PASS
Itaipu,2018-12-07 03:51:20,PASS
Starmilk,2018-12-07 03:50:49,PASS
Stein,2018-12-07 03:49:49,PASS
Itaipu,2018-12-07 03:46:20,PASS
Starmilk,2018-12-07 03:45:49,PASS
Stein,2018-12-07 03:44:49,PASS
Itaipu,2018-12-07 03:41:20,PASS
Starmilk,2018-12-07 03:40:49,PASS
Stein,2018-12-07 03:39:49,PASS
Itaipu,2018-12-07 03:36:20,PASS
Starmilk,2018-12-07 03:35:49,PASS
Stein,2018-12-07 03:34:49,PASS
Itaipu,2018-12-07 03:31:20,PASS
Starmilk,2018-12-07 03:30:49,PASS
Stein,2018-12-07 03:29:49,PASS
Itaipu,2018-12-07 03:26:20,PASS
Starmilk,2018-12-07 03:25:49,PASS
Stein,2018-12-07 03:24:49,PASS
Itaipu,2018-12-07 03:21:20,PASS
Starmilk,2018-12-07 03:20:49,PASS
Stein,2018-12-07 03:19:49,PASS
Itaipu,2018-12-07 03:16:20,PASS
Starmilk,2018-12-07 03:15:49,PASS
Stein,2018-12-07 03:14:49,PASS
Itaipu,2018-12-07 03:11:20,PASS
Starmilk,2018-12-07 03:10:49,PASS
Stein,2018-12-07 03:09:49,PASS
Itaipu,2018-12-07 03:06:20,PASS
Starmilk,2018-12-07 03:05:49,PASS
Stein,2018-12-07 03:04:49,PASS
Itaipu,2018-12-07 03:01:20,PASS
Starmilk,2018-12-07 03:00:49,PASS
Stein,2018-12-07 02:59:49,PASS
Itaipu,2018-12-07 02:56:20,PASS
Starmilk,2018-12-07 02:55:49,PASS
Stein,2018-12-07 02:54:49,PASS
Itaipu,2018-12-07 02:51:20,PASS
Starmilk,2018-12-07 02:50:49,PASS
Stein,2018-12-07 02:49:49,PASS
Itaipu,2018-12-07 02:46:20,PASS
Starmilk,2018-12-07 02:45:49,PASS
Stein,2018-12-07 02:44:49,PASS
Itaipu,2018-12-07 02:41:20,PASS
Starmilk,2018-12-07 02:40:49,PASS
Stein,2018-12-07 02:39:49,PASS
Itaipu,2018-12-07 02:36:20,PASS
Starmilk,2018-12-07 02:35:49,PASS
Stein,2018-12-07 02:34:49,PASS
Itaipu,2018-12-07 02:31:20,PASS
Starmilk,2018-12-07 02:30:49,PASS
Stein,2018-12-07 02:29:49,PASS
Itaipu,2018-12-07 02:26:20,PASS
Starmilk,2018-12-07 02:25:49,PASS
Stein,2018-12-07 02:24:49,PASS
Itaipu,2018-12-07 02:21:20,PASS
Starmilk,2018-12-07 02:20:49,PASS
Stein,2018-12-07 02:19:49,PASS
Itaipu,2018-12-07 02:16:20,PASS
Starmilk,2018-12-07 02:15:49,PASS
Stein,2018-12-07 02:14:49,PASS
Itaipu,2018-12-07 02:11:20,PASS
Starmilk,2018-12-07 02:10:49,PASS
Stein,2018-12-07 02:09:49,PASS
Itaipu,2018-12-07 02:06:20,PASS
Starmilk,2018-12-07 02:05:49,PASS
Stein,2018-12-07 02:04:49,PASS
Itaipu,2018-12-07 02:01:20,PASS
Starmilk,2018-12-07 02:00:49,PASS
Stein,2018-12-07 01:59:49,PASS
Itaipu,2018-12-07 01:56:20,PASS
Starmilk,2018-12-07 01:55:49,PASS
Stein,2018-12-07 01:54:49,PASS
Itaipu,2018-12-07 01:51:20,PASS
Starmilk,2018-12-07 01:50:49,PASS
Stein,2018-12-07 01:49:49,PASS
Itaipu,2018-12-07 01:46:20,PASS
Starmilk,2018-12-07 01:45:49,PASS
Stein,2018-12-07 01:44:49,PASS
Itaipu,2018-12-07 01:41:20,PASS
Starmilk,2018-12-07 01:40:49,PASS
Stein,2018-12-07 01:39:49,PASS
Itaipu,2018-12-07 01:36:20,PASS
Starmilk,2018-12-07 01:35:49,PASS
Stein,2018-12-07 01:34:49,PASS
Itaipu,2018-12-07 01:31:20,PASS
Starmilk,2018-12-07 01:30:49,PASS
Stein,2018-12-07 01:29:49,PASS
Itaipu,2018-12-07 01:26:20,PASS
Starmilk,2018-12-07 01:25:49,PASS
Stein,2018-12-07 01:24:49,PASS
Itaipu,2018-12-07 01:21:20,PASS
Starmilk,2018-12-07 01:20:49,PASS
Stein,2018-12-07 01:19:49,PASS
Itaipu,2018-12-07 01:16:20,PASS
Starmilk,2018-12-07 01:15:49,PASS
Stein,2018-12-07 01:14:49,PASS
Itaipu,2018-12-07 01:11:20,PASS
Starmilk,2018-12-07 01:10:49,PASS
Stein,2018-12-07 01:09:49,PASS
Itaipu,2018-12-07 01:06:20,PASS
Starmilk,2018-12-07 01:05:49,PASS
Stein,2018-12-07 01:04:49,PASS
Itaipu,2018-12-07 01:01:20,PASS
Starmilk,2018-12-07 01:00:49,PASS
Stein,2018-12-07 00:59:49,PASS
Itaipu,2018-12-07 00:56:20,PASS
Starmilk,2018-12-07 00:55:49,PASS
Stein,2018-12-07 00:54:49,PASS
Itaipu,2018-12-07 00:51:20,PASS
Starmilk,2018-12-07 00:50:49,PASS
Stein,2018-12-07 00:49:49,PASS
Itaipu,2018-12-07 00:46:20,PASS
Starmilk,2018-12-07 00:45:49,PASS
Stein,2018-12-07 00:44:49,PASS
Itaipu,2018-12-07 00:41:20,PASS
Starmilk,2018-12-07 00:40:49,PASS
Stein,2018-12-07 00:39:49,PASS
Itaipu,2018-12-07 00:36:20,PASS
Starmilk,2018-12-07 00:35:49,PASS
Stein,2018-12-07 00:34:49,PASS
Itaipu,2018-12-07 00:31:20,PASS
Starmilk,2018-12-07 00:30:49,PASS
Stein,2018-12-07 00:29:49,PASS
Itaipu,2018-12-07 00:26:20,PASS
Starmilk,2018-12-07 00:25:49,PASS
Stein,2018-12-07 00:24:49,PASS
Itaipu,2018-12-07 00:21:20,PASS
Starmilk,2018-12-07 00:20:49,PASS
Stein,2018-12-07 00:19:49,PASS
Itaipu,2018-12-07 00:16:20,PASS
Starmilk,2018-12-07 00:15:49,PASS
Stein,2018-12-07 00:14:49,PASS
Itaipu,2018-12-07 00:11:20,PASS
Starmilk,2018-12-07 00:10:49,PASS
Stein,2018-12-07 00:09:49,PASS
Itaipu,2018-12-07 00:06:20,PASS
Starmilk,2018-12-07 00:05:49,PASS
Stein,2018-12-07 00:04:49,PASS
Itaipu,2018-12-07 00:01:20,PASS
Starmilk,2018-12-07 00:00:49,PASS
Stein,2018-12-06 23:59:49,PASS
Itaipu,2018-12-06 23:56:20,PASS
Starmilk,2018-12-06 23:55:49,PASS
Stein,2018-12-06 23:54:49,PASS
Itaipu,2018-12-06 23:51:20,PASS
Starmilk,2018-12-06 23:50:49,PASS
Stein,2018-12-06 23:49:49,PASS
Itaipu,2018-12-06 23:46:20,PASS
Starmilk,2018-12-06 23:45:49,PASS
Stein,2018-12-06 23:44:49,PASS
Itaipu,2018-12-06 23:41:20,PASS
Starmilk,2018-12-06 23:40:49,PASS
Stein,2018-12-06 23:39:49,PASS
Itaipu,2018-12-06 23:36:20,PASS
Starmilk,2018-12-06 23:35:49,PASS
Stein,2018-12-06 23:34:49,PASS
Itaipu,2018-12-06 23:31:20,PASS
Starmilk,2018-12-06 23:30:49,PASS
Stein,2018-12-06 23:29:49,PASS
Itaipu,2018-12-06 23:26:20,PASS
Starmilk,2018-12-06 23:25:49,PASS
Stein,2018-12-06 23:24:49,PASS
Itaipu,2018-12-06 23:21:20,PASS
Starmilk,2018-12-06 23:20:49,PASS
Stein,2018-12-06 23:19:49,PASS
Itaipu,2018-12-06 23:16:20,PASS
Starmilk,2018-12-06 23:15:49,PASS
Stein,2018-12-06 23:14:49,PASS
Itaipu,2018-12-06 23:11:20,PASS
Starmilk,2018-12-06 23:10:49,PASS
Stein,2018-12-06 23:09:49,PASS
Itaipu,2018-12-06 23:06:20,PASS
Starmilk,2018-12-06 23:05:49,PASS
Stein,2018-12-06 23:04:49,PASS
Itaipu,2018-12-06 23:01:20,PASS
Starmilk,2018-12-06 23:00:49,PASS
Stein,2018-12-06 22:59:49,PASS
Itaipu,2018-12-06 22:56:20,PASS
Starmilk,2018-12-06 22:55:49,PASS
Stein,2018-12-06 22:54:49,PASS
Itaipu,2018-12-06 22:51:20,PASS
Starmilk,2018-12-06 22:50:49,PASS
Stein,2018-12-06 22:49:49,PASS
Itaipu,2018-12-06 22:46:20,PASS
Starmilk,2018-12-06 22:45:49,PASS
