Timestamp,Socket Connection Test,HTTP Connection Test,Network Type,Mobile Data Network Type,SIM State,Service State,Detailed State,Is Connected,Is Roaming,Is Available,Is Failover,Data Activity,Data State,Reason,Extra Info,WiFi SSID,WiFi BSSID,WiFi Frequency,WiFi Channel,WiFi Signal Strength (0–4),WiFi Signal Strength (RSSI),SIM Operator,SIM MCC,SIM MNC,Network Operator,Network MCC,Network MNC,Is Network Metered,Device Latitude,Device Longitude,Device Position Accuracy (m),Device Speed (m/s),Cell Signal Strength (0–4),Cell Signal Strength (dBm),ASU Level,CDMA Cell Base Station Id,CDMA Cell Latitude,CDMA Cell Longitude,CDMA Cell Network Id,CDMA Cell System Id,GSM Full Cell Id,GSM RNC,GSM Short Cell Id,GSM Cell LAC,GSM Cell PSC,LTE Cell Id,LTE Cell RF Channel,LTE Physical Cell Id,LTE Cell Tracking Area Code,Network Interface,IPv4 Address,IPv6 Address,Battery Level,Download Speed (Mbps),Upload Speed (Mbps)
2018-12-05 10:55:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-12,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,100,Disabled,Disabled
2018-12-05 10:50:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-12,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,99,Disabled,Disabled
2018-12-05 10:45:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-12,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,98,Disabled,Disabled
2018-12-05 10:40:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-12,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,96,Disabled,Disabled
2018-12-05 10:35:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-12,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,94,Disabled,Disabled
2018-12-05 10:30:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-12,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,92,Disabled,Disabled
2018-12-05 10:25:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-13,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,90,Disabled,Disabled
2018-12-05 10:20:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-13,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,87,Disabled,Disabled
2018-12-05 10:15:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-13,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,84,Disabled,Disabled
2018-12-05 10:10:29,PASS,PASS,WIFI,UNKNOWN,UNKNOWN,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""roteador_cibiogas""","""roteador_cibiogas""",68:72:51:6e:16:22,2417,2,4,-13,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,wlan0,192.168.1.94,fe80::d204:1ff:fea8:f8fe%wlan0,81,Disabled,Disabled
